Strain,Location,Count
Oreoz,Flower 1 - Back,51
Oreo Runtz,Flower 1 - Back,339
London Pound Cake,Flower 1 - Back,124
Black Runtz,Flower 1 - Front,47
Cereal Milk,Flower 2 - Back,497
Coffee Runtz,Flower 2 - Back,1380
Oreo Runtz,Flower 2 - Back,200
Black Truffle,Flower 2 - Back,167
Gelato Runtz,Flower 2 - Back,301
OMFG,Flower 2 - Back,308
Coffee Runtz,Flower 2 - Front,100
London Pound Cake,Flower 2 - Front,500
Oreo Runtz,Room 3 Back,1812
OMFG,Room 3 Back,100
Killer Cupcake,Room 3 Back,535
Oreo Runtz,Room 3 Front,374
MAC1,Room 4 Back,54
Lava Runtz,Room 4 Back,35
Grand Daddy Purple,Room 4 Back,53
Gelato 33,Room 4 Back,20
GG4,Room 4 Back,164
Cake Boss,Room 4 Back,22
OMFG,Room 4 Front,23
Cereal Milk,Room 4 Front,69
Indica Pie,Room 4 Front,47
Cake Boss,Room 6 Back,3
